前5个词,中心词,后五个词
durée cotisation recul âge retraite,réforme,baromètre opinion dree retraité montrer
mobilisation social mémoire parlementaire sujet,réforme,retraite explosif particulièrement technique profondément
justice social jouent temporalité vite,réforme,arrive mandat mieux passer auprès
ministre annoncer novembre agir proprement,réforme,retraite projet comporte volet sécurité
parlement parlement discut martèl prôner,réforme,sage négocier progressif témoigner temps
opposant édouard philippe actif article,réforme,porter régime universel ministre heurter
opposant projet gouvernement affirmer,réforme,exigence bruxelle réalité faute europe
europe début contestation social contre,réforme,retraite rôle union européen pointer
coquerel début année bfmtv thèse,réforme,retraité dicter bruxelle avancer élu
lavalette affirmer cnew janvier dernier,réforme,obéir injonction bruxelle emmanuel macron
obéir injonction bruxelle emmanuel macron,réforme,aujourd'hui unique raison engagement devoir
revanche rôle marché financier vraiment,réforme,est-ell non exiger ue article
non commission européen imposer france,réforme,retraite entendre cadre débat national
recommandation non contraignante vingt-sept sujet,réforme,retraite adresse france mai dernier
dernier document porter programme national,réforme,france conseil ue recommander france
état membre transmettre commission programme,réforme,année venir commission européen étudier
assas spécialiste droit européen souligner,réforme,retraite partie mesure préconiser ue
croissance européen france obliger précisément,réforme,-là rentrer clou répondre vincent
avancer emmanuel macron recours passer,réforme,vote assemblée chef état justifier
grand rapporter monde comprendre renoncer,réforme,mettre danger capacité france emprunter
plan relance post-covid milliard conditionner,réforme,retraite insister représentation français commission
bellamy laure lavalette bruxelle sujet,réforme,retraite plan relance européen axer
note vincent couronn aucunement mention,réforme,retraite décision conseil ue dater
souligner francesco martucci résumé faux,réforme,système retraite français dicter union
européen déficit public obliger précisément,réforme,penser annoncer exécutif français pointe
pointe ailleurs risque financier renoncement,réforme,état libre définir manière remplir
définir manière remplir engagement aucun,réforme,retraite requise recevoir fonds européen
macron déambule isolé loin fracas,réforme,retraite gouvernement apprêter affronter jour
ministre travail olivier dussopt ligne,réforme,soupçonner justice favoritisme savoir parlement
suite dépendre parlement gouvernement défendre,réforme,temps emmanuel macron vaqu occupation
agenda jouer décalage manifestation contre,réforme,retraite barcelone signer traité amitié
préparer suite après-réforme retraite fois,réforme,espère entrer application été emmanuel
social connaître chantier impliquer éducation,réforme,lycée professionnel ensuite santé réparer
clignoter rouge vif jour présentation,réforme,retraite syndicat cgt branche pétrole
large majorité français beau soutenir,réforme,retraite exécutif parier désintérêt croissant
commencer emmanuel macron lendemain présentation,réforme,assurer conseil ministre indispensable vital
association presse présidentiel -ce attendre,réforme,non -ce rentrer vigueur été
opinion autant français commencer idée,réforme,résigner sondage odoxa opposer report
français mesure expliquer érosion opposition,réforme,soulign odoxa heure français soutenir
penser mesure spectaculaire venir ombre,réforme,retraite juger hasardeux spécialiste opinion
majoritaire féliciter poids droite construction,réforme,retraite député fortement hostile texte
samedi vosge stéphane viry considérer,réforme,adéquation français belfort alsace député
député lr territoire belfort voter,réforme,réjouir liberté vote sein groupe
partager constat assiette cotisation estimer,réforme,structurel retraite fonder enjeux conjoncturel
aventure gouvernement décider passer adopter,réforme,casu belli .raphaël schellenberger réclamer
garde député eure-et-loir invite mesurer,réforme,lumière expertise droite étude impact
prix devoir sérier combat savoir,réforme,imposer sauver système répartition souligner
national début mois février assemblée,réforme,retraite âprement débattre calendrier restreindre
présidentiel penser grâce disposition constitutionnel,réforme,avancer trop encombre parlement trouver
haute majorité lr voter année,réforme,retraite point similaire adopter trop
gros groupe sénat voir voter,réforme,attendre année répéter reprise bruno
méfiance mise plan dérouler parfaitement,réforme,ampleur arriver jamais forcémer péripétie
profondément inquiétant décalage prudence timidité,réforme,proposer véhémence voire indignation susciter
pays rejet massif terme processus,réforme,âge départ retraite rester europe
quantité bien service besoin vivre,réforme,retraite réforme pro-croissance indispensable accompagner
service besoin vivre réforme retraite,réforme,pro-croissance indispensable accompagner effort enrichissement
chantier cacher,réforme,retraite accaparer espace politique médiatique
semaine venir emmanuel macron oublier,réforme,retraite contraindre abandonner mandat entendre
eau plonger clair question lancer,réforme,institutionnel garantie aboutir minimum envergure
recevoir prédécesseur nicola sarkozy voter,réforme,constitutionnel ampleur limiter nombre mandat
esprit macron agir consulter confier,réforme,été idée circuler sarkozy hollande
sarkozy confier présidence comité conduire,réforme,cas fois actuel chef état
syndicat appeler mobilisation jeudi contre,réforme,retraite relèvement âge départ an
anticipé an exposition contrairement passer,réforme,allonger an autant agent partir
association journaliste information social aji,réforme,retraite permettre accès retraite compte
historique naissance population vieillissant veille,réforme,retraite chiffre bilan démographique sensible
retraite répartition hiver démographique impensé,réforme,petit musique commencer entendre jour
association familial appeler retrouver assurer,réforme,retraite durable discours malthusien étude
gréviste veille journée mobilisation contre,réforme,retraite emmanuel macron jouer baromètre
emmanuel macron majorité chance aboutir,réforme,mesure obliger acteur responsabilité lecture
téléviser entendre valoriser justification majeur,réforme,équilibre budgétaire faute équilibre régime
positif justification macronienn consister présenter,réforme,retraite élément relance général pays
rapidement revenir message euro dégager,réforme,servira exclusivement financement retraite rappeler
état travail bataill français voir,réforme,retraite élément triptyque ailleurs constituer
retraite élément triptyque ailleurs constituer,réforme,assurance chômage chantier lycer professionnel
,réforme,retraite acte ii scène concertation
partenaire politique social présentation officiel,réforme,ministre réaction outrager opposant texte
journée jeudi conditionner partie avenir,réforme,gouvernement affich heure volonté aller
micro hypothèse étude planifier scénario,réforme,processus réforme comprendre discussion moment
étude planifier scénario réforme processus,réforme,comprendre discussion moment donner glisse
an demi douter écouter opposant,réforme,retraite passer vie gagner lit
ministre survie jeu part finalité,réforme,contrairement mettre agir renflouer caisse
confrontation classique fois agir passer,réforme,difficile impopulaire espagne emmanuel macron
privé macron évoqu précédent exemple,réforme,retraite annoncer campagne présidentiel précéder
million manifestant macron sarkozy bon,réforme,annoncer raison bon réforme valider
bon réforme annoncer raison bon,réforme,valider urne actuel chef état
contre représentant famille pen voter,réforme,retraite an réélection annoncer campagne
clarté mandat recevoir condition réussite,réforme,retraite détermination conduit essentiel réforme
réforme retraite détermination conduit essentiel,réforme,nécessaire allongement successif durée activité
rue conduire ensuite reculer cpe,réforme,lycée sarkozy macron capacité face
sondage devoir exprimer rejet croissant,réforme,emmanuel macron arme nécessaire détermination
syndicat remporter pari mobilisation contre,réforme,retraite million manifestant revendiquer cgt
république opposer légitimité disposer conduire,réforme,détermination mener terme chose moment
démocratique expliquer emmanuel macron défendre,réforme,démocratiquement présenter validée responsable nuance
nuance toutefois cessent rappeler opposant,réforme,retraite emmanuel macron réélire mandat
empêcher terme journée manifestation contre,réforme,retraite heurt émailler cortège syndicat
amplifier mobilisation accroître pression gouvernement,réforme,retraite passage cap horn bateau
grève contre,réforme,retraite paralyser france internet balbutiant
-ce date grand grève contre,réforme,retraite juppé espérance vie passer
télévision représentant jeunesse élever contre,réforme,viser pourtant préparer monde parvient
syndicat afficher cohésion contre,réforme,gouvernement gauche diviser char syndicat
prévoit soutenir permettre plier gouvernement,réforme,totalement injuste égoïste avertissement adresse
gouvernement fonctionner plein régime face,réforme,français remonter calcul trimestre dispositif
retraite horizon éloigner rien garantir,réforme,dernier exclame fonctionnaire bac double
matériel enfant an payer étude,réforme,féliciter fin régime spécial juge
rapport horaire naître mai échapper,réforme,trouve fort satisfaire retraite janvier
question lier vieillissement an emploi,réforme,devoir valorisation travail senior sentir
dette exécutif prendre risque ouvrir,réforme,symbolique substantielle incertaine boîte pandore
hier france est-ell difficile réformer,réforme,symboliquement charger contenu programmatique révéler
général gaulle philosophe soutenir france,réforme,permettre temps temps révolution général
temps révolution général répondre france,réforme,temps temps révolution cadre profiter
temps temps révolution cadre profiter,réforme,manière reconnaître changement social ailleurs
projet,réforme,retraite chemine parlement syndicat parti
chef état texte arriver hémicycle,réforme,emmanuel macron heurter frondeur propre
montrer écoute autant reculer projet,réforme,présenter lundi conseil ministre exécutif
âge ore tiers économie attendre,réforme,servir financer dépense social milliard
social milliard euro économie attendre,réforme,milliard euro consacrer mesure accompagnement
mesure évaluer incidence moyen terme,réforme,retraite finance public compte caractère
,réforme,présenter conseil ministre lundi élisabeth
garde cap bousculer contestation projet,réforme,retraite présenter texte lundi conseil
renoncer équilibre financier système fondamentau,réforme,promettre olivier dussopt marge manœuvre
modem générer cotisation social aménager,réforme,retraite rogner achat salarié heure
perspective disposition venir satisfaire opposant,réforme,élisabeth born convaincue travail parlementaire
doute majorité unir porter nécessité,réforme,assurer avenir actuel système retraite
questionner solidité majorité hostilité égard,réforme,retraite apanage adversaire chef état
chef état texte arriver hémicycle,réforme,emmanuel macron heurter frondeur propre
ramo appeler jeudi sud radio,réforme,contre français reprendre système point
opposition galvaniser ampleur mobilisation contre,réforme,retraite compter rester aucun résignation
thévenot riposter peur continuer expliquer,réforme,focaliser âge finalité modalité réforme
réforme focaliser âge finalité modalité,réforme,bfmtv olivier véran abonder dimanche
enjeu répondre inquiétude réel enrichir,réforme,apport emploi senior sujet réticent
apport emploi senior sujet réticent,réforme,rang majorité entendre négocier gabriel
ministre travail olivier dussopt défendre,réforme,rétablit maximum égalité assurer janvier
an tour passe-passe simplement cause,réforme,touraine voter quinquennat holland impact
successeur français prendre conscience précédent,réforme,obliger travailler toucher retraite taux
tourain salarié commencer carrière an,réforme,macron rajouter mois travail naître
naître partir âge départ identique,réforme,prévoir réforme touraine indiquer globalement
âge départ identique réforme prévoir,réforme,touraine indiquer globalement effort fournir
,réforme,difficile accepter boîte pandore prétendre
espérance vie etc. argument audible,réforme,nécessaire pays assurer paiement retraite
assurer paiement retraite avenir loin,réforme,percevoir injuste brutal adopter fin
repose dépassement gauche droite temps,réforme,constituer appeler sociologie acte lourd
surplus conflit dur annonce promoteur,réforme,impopulaire devenir volen nolensle représentant
théoriquement oui gauche vent contre,réforme,grand difficulter montrer impuissance échouer
leader incarner républicain soutenir majoritairement,réforme,accuser béquille choix vraiment question
obliger recourir ajouter passage force,réforme,impopulaire rassemblement national tirer marron
fonder évitement élargissement ressentiment condamner,réforme,ranger bien sûr côté électorat
cherche appuyer vote ressentiment accroître,réforme,promettre bien sûr annulation expérience
bien sûr annulation expérience indique,réforme,retraite moment juger insupportable finir
jacques chirac développer argumentaire défendre,réforme,retraite porter ministre affaire social
-ce voir arriver estime manifester,réforme,voir retraite effondrer clamer chef
équipe élisabeth born présenter mi-janvier,réforme,conseil ministre marteler successeur année
débat technique retraite économiste conviennent,réforme,devoir dernier quasiment sûr nouvelle
tour vis imposer date aucun,réforme,intervenir système retrouver déficitaire raison
fugace équilibre gain financier net,réforme,conster solde structurel baisser raison
françois ecalle spécialiste finance public,réforme,devoir imposer prochain année juger
finir affecter système interroger récurrence,réforme,revenir ritournelle débat public intervalle
système retraite besoin piloter régulièrement,réforme,paramétrique évoluer paramètre fonction capacité
alain juppé proposer généraliser fonctionnaire,réforme,prédécesseur matignon mouvement social grand
cotisation million descendre rue contre,réforme,succès nicolas sarkozy poursuivre stratégie
regard chronologie dense absurde penser,réforme,borne adopter ici été dernier
revoyure fin quinquennat emmanuel macron,réforme,présenter der der ministre cesse
der der ministre cesse répéter,réforme,garantit équilibre financier système appuyer
olivier véran ose déclarer viser,réforme,permettre poser question équilibre financier
système récurrence fustiger détracteur politique,réforme,incapacité répondre défi accumuler prévision
élu insoumis ligne bataille retraite,réforme,actuel amener tabou énorme partager
mettre fin exemple exonération fiscal,réforme,fonctionner argent caisse revenir débat
charge convaincre collègue majorité probablement,réforme,important quinquennat français comprendre forme
rappeler france pays éruptif conflictuel,réforme,successif expliquer politique petit éviter
gouvernement exécutif aller trop loin,réforme,risque brusquer français crise gilet
retraite cor remettre cause nécessité,réforme,affirmer opposition raison survie financier
projecteur fois brandir exécutif justifier,réforme,argument équilibre financier système entendre
instance indépendant autorité sujet affirmer,réforme,inutile injustifier point vue budgétaire
social pleine journée mobilisation contre,réforme,dépense retraite déraper maîtriser plupart
cor remettre vraiment cause bien-fondé,réforme,système retraite convier rappeler propos
hypothèse privilégier servir référence cadre,réforme,retraite déficit perdur ajoute ailleurs
plane toutefois partager avis juger,réforme,inutile revanche économiste mettre doute
économie stabiliser gouvernement cherch davantage,réforme,protéger finance public rassurer marché
cor lier fonctionnaire question nécessité,réforme,proposer gouvernement agir choix politique
mécanique mouvement grève manifestation contre,réforme,retraite menace station ski mobilisation
concerner surprise âge an instaurer,réforme,retraite gouvernement saisonnier métier intense
mobilisation contre,réforme,retraite relever défi longévité question
texte impliquer forcément abandonner carrémer,réforme,pensent recul aller jusque-là agir
voir risquer repousséede mois cause,réforme,an estimer perdre texte vigueur
commencer envisager sérieusement version définitif,réforme,retraite finalement élaborer commission mixte
sécurité social plfssr texte financier,réforme,automatiquement soumettre article constitution disposition
élu chambre largement temps discuter,réforme,blocage parlementaire assemblée devoir consacrer
consacrer heure débat séance mieux,réforme,woerth heure séance touraine heure
opposition démord méthode choisir gouvernement,réforme,contraint empêcher dérouler projet débat
rejet député stratégie avérer payant,réforme,retraite condition alliance républicain particulièrement
born mener triple bataill passer,réforme,retraite opinion public assemblée national
succès mobilisation janvier dernier bien,réforme,» élisabeth born mécontent texte
multiplier appel grève classique concerner,réforme,retraite année france gouvernement croire
commencer demander bien opportun mener,réforme,temps difficile français regarder mobilisation
député majorité constat électeur croiser,réforme,retraite sûrement battu pavé jour
démontrer emmanuel macron minoritaire légitimité,réforme,bataille légitimité bataille joue bien
joue bien légitimité président passer,réforme,an élection gauche refuser voir
insoumis emmanuel macron aucun légitimité,réforme,mandat populaire emmanuel macron élu
euro toucher retraité partir retraite,réforme,point issu accord trouver président
marleix garantir député républicain voter,réforme,tradition député liberté vote aujourd’hui
aujourd’hui élu lr fortement diviser,réforme,retraite mener aurélien pradié dizaine
,réforme,purement simplement abandonner passer grève
simplement abandonner passer grève blocage,réforme,minimum ambitieux raison succès échec
législative édouard balladur trouver dossier,réforme,bureau nommer matignon grand sagesse
privé bien choisir cibl condition,réforme,retraite mener trop douleur attaquer
saler effort sucrer compensation condition,réforme,retraite digeste vis-à-vis catégorie disposer
carrière long pénible femme chômeur,réforme,comporte lot arrangement particulier françois
revendication cfdt introduction âge pivot,réforme,permit rejoindre centrale opposition franc
opposition franc massif camper aujourd’hui,réforme,retraite édouard balladur origine ministre
milliard franc édouard balladur limite,réforme,salarié privé profession indépendant an
france retomber récession entrer vigueur,réforme,étaler période an mettre œuvre
national assurance vieilless cnav évaluer,réforme,balladur rapport publier calcul déficit
origine ministre alain juppé introduire,réforme,régime spécial retraite fonction public
novembre simple attaquer angle mort,réforme,balladur aligner régime privé réduire
an lionel jospin toucher objectif,réforme,vise combler besoin financement allonger
jusqu ’ million syndicat police,réforme,adopter soutien cfdt diriger françois
grève général bilan rapport cnav,réforme,atteindre objectif principal retarder départ
tôt populaire nicola sarkozy origine,réforme,quinquennat président république symbolique volonté
mobilisation retrouver isolé bilan an,réforme,coûter cher régime spécial maintenir
éric woerth ministre travail charger,réforme,objectif partout europe repousse âge
an durée cotisation an contestation,réforme,provoquer fort mobilisation sncf raffinerie
origine annoncer françoi hollande campagne,réforme,confier ministre affaire social santé
pénibilité créer financer entreprise contestation,réforme,soutenir cfdt manifestation éclater descendre
emmanuel macron origine candidat marche,réforme,retraite symbole volonté rupture l’«ancien
gestionnaire principal collecter cotisation contestation,réforme,suscite opposition unanime partenaire sociau
record bilan début mars élément,réforme,adopter vote fin mois mobilisation
manifestation marche janvier contre,réforme,retraite préparer grève blocage février
an syndicat révolutionnaire principe refuser,réforme,dialogue exprimer coup prise otage
continuer expliquer force conviction nécessité,réforme,reculer avenir système retraite puissance
mouvement social contre,réforme,retraite dynamique hiver agent ratp
nombre journée action interprofessionnel contre,réforme,janvier janvier occasion transport commun
pointiller colère instant intensité an,réforme,systémique mettre système terre expliquer
recul âge départ retraite accélération,réforme,touraine clair agent ratp estimer
agent ratp estimer perdre an,réforme,appliquer droit toucher pension retraite
envie conducteur ratp découdre gouvernement,réforme,retraite appliquer septembre employé secteur
raison entreprise public montée puissance,réforme,retraite mener nicolas sarkozy achever
mener nicolas sarkozy achever fin,réforme,actuel présenter janvier janvier jean
perturber division interne,réforme,républicain anticiper scénario député républicain
député républicain déposer amendement projet,réforme,retraite issus groupe principal correctif
hold up réserve privé rythme,réforme,raisonnable devoir député identifier amélioration
augmenter petit retraite augmenter miracle,réforme,pest élu inquiet image droite
éventuel gouvernement arriver mettre œuvre,réforme,imputer essayer brutal mieux acceptable
doub nombre lr continuent croire,réforme,indispensable attendre scénario chef file
régime ailleurs principal difficulter heurter,réforme,retraite aujourd’hui accuser olivier marleix
,réforme,retraite chef état retrouver face
moderniser usine gaz contraindre rafistoler,réforme,retraite examen débuter assemblée rêver
frondeur peut-être usage honnir article,réforme,retraite emmanuel macron voir cauchemar
bien changer époque revenir agenda,réforme,croire entourage chef état bras
rue obtenir bout compte retrait,réforme,bras fer engager intersyndical ramène
précéder promettre jamais sacrifier ambition,réforme,satisfaire gaulois réfractaire tête préférer
réélection avril dernier ajouter contestation,réforme,retraite parfum revanche contre emmanuel
avancer profiter monter enchère vote,réforme,camp diviser pire emmanuel macron
entendre rester inflexible hostilité persistant,réforme,retraite mesurer enquête opinion traduire
légal départ an point symbolique,réforme,négociable insister week end dernier
prospérer doute autour détermination conduire,réforme,jusqu ’ bout an point
’ bout an point symbolique,réforme,sillage élisabeth born chef état
député lr vacillant chose contre,réforme,contre mouvement social juger ministre
touraine ex-ministre françois hollande étriller,réforme,retraite qualifier lundi france inter
intérieur défiler jeudi janvier contre,réforme,retraite attirer attention suscité étonnemer
battre pavé journée manifestation contre,réforme,retraite digne-les-bain chef lieu alpe
commencer travailler tôt conséquent affecter,réforme,an cotisation décrire roman nicola
faveur marine pen défiler contre,réforme,retraite barre avril moyenne manifestant
fort mobilisation opposant,réforme,entendre voix penser donner suite
terme journée action syndical contre,réforme,retraite rapport force chiffre million
année succès journée mobilisation contre,réforme,retraite assembler national retrouver pression
dussopt brandir mise garde retirer,réforme,système écrouler pension retraité écrouler
revigorer ampleur cortège exiger opposant,réforme,syndical politique ensuite dernier fois
bout porter,réforme,retraite scénario exécutif redouter mobilisation
réalité gouvernement contraindre adapter récit,réforme,financer prochain grand chantier pays
partie important majoritaire opinion reconnaître,réforme,intensifier pression partager français raison
pression partager français raison véritable,réforme,désoler président modem souhaiter présentation
désoler président modem souhaiter présentation,réforme,repose davantage constat partager élément
imposer service après-vent volet social,réforme,voix gauche macronie exposer grief
pays moyen gouvernement retir modifier,réforme,point semaine bien profiler vacance
collective tribune trouver menu projet,réforme,retraite débat nécessité réformer modalité
système répartition solidarité génération attendre,réforme,justement aborder perspective intergénérationnell voir
système travailler cotiser davantage actif,réforme,retraite succéder rater essentiel refuser
refuser aborder question justice générationnel,réforme,exception proposition fois renouveler travailler
effort génération actif retraité promesse,réforme,
difficulté adopter,réforme,retraite président étudier outil institutionnel
président vraiment terminer mandat commencer,réforme,retraite juge paix autour alternative
président temps long garer agender,réforme,gouvernement missionner porter réforme retraite
agender réforme gouvernement missionner porter,réforme,retraite réaliser ensemble engagement prendre
rentrer républicain rang pousser voter,réforme,retraite état âm clé tomber
déjeuner nicolas sarkozy évoquer projet,réforme,institution manière chef état mettre
autour chef état persuader avenir,réforme,davantage jouer palais bourbon cortège
traditionnel distance sécurité utiliser moyen,réforme,passer prévenir député lfi somme
loi retraite exécutif mener bien,réforme,impopulaire octobre pari rue capitale
risquer tort raison plein débat,réforme,retraite cas argument installer rang
bout exécutif pourtant mener bien,réforme,impopulaire loi fillon retraite adopter
loi fillon retraite adopter contestation,réforme,défendre éric woerth passer mouvement
mouvement social engendrer cas typique,réforme,faite cohérence base diviser créer
directeur étude politique harris grand,réforme,université porter jacques chirac face
côté situer président candidat porter,réforme,retraite campagne réélection opinion public
obligatoire collectiviste devoir remettre cause,réforme,demander réellement sauver système répartition
cotiser pensionner tard tort présente,réforme,prétendre précisément sauver système répartition
perc pere perco remarquer ensuite,réforme,capitalisation mettre place plupart pays
financer budget état dépit diversité,réforme,systémique commun retraite coûter cher
responsabilité propriété dignité humain pays,réforme,capitalisation mettre place niveau retraite
colère froid sentiment manifestant opposer,réforme,retraite syndicaliste arborer chasubl solidaire
étudiant profil représenter croire opposant,réforme,retraite mobilisation multiforme géographie sociologie
habitué mobilisation social présent contre,réforme,retraite contre loi travail corporation
économique social tendre inquiéter ménage,réforme,retraite catalyseur préoccupation équivaloir revendicatif
expliquer louis margueritte mobilisation contre,réforme,devenir prétexte exprimer angoisse fond
enseigner histoire géographie manifester contre,réforme,retraite affirmer frappe contrairement dernier
jamais contester nécessité travailler nécessité,réforme,retraite varier réforme accepter français
travailler nécessité réforme retraite varier,réforme,accepter français justifier réforme commencer
varier réforme accepter français justifier,réforme,commencer an cotiser an commencer
travailler an partir annuité voter,réforme,jdd ministre indiquer demande coûter
affaire négociation voter motion censure,réforme,échouer
laurent wauquier passer inaperçu droite,réforme,retraite souhaiter républicain diviser famille
famille politique français député hostile,réforme,voir soutien laurent wauquiez sourire
député haute-loir jean- pierre vigier,réforme,retraite clair net précis état
précis état non refus voter,réforme,élu wauquieziste justifier dénoncer projet
remettre valeur travail coeur société,réforme,retraite ânerie voter contre hésitation
temps travail france travailler accepter,réforme,retraite appuie fabien di filippo
alerter cancer assistanat passer goutte,réforme,impopulaire autant juge imparfaite laurent
imparfaite laurent wauquiez estime voter,réforme,janvier voeu presse auvergne rhône
tomber commentaire vie politique mot,réforme,retraite réforme lacune énoncer principe
vie politique mot réforme retraite,réforme,lacune énoncer principe responsabilité principe
responsabilité principe responsabilité consister opposer,réforme,poursuivre conscient pays européen fixer
minimum wauquier veille passer goutte,réforme,impopulaire offusquer ténor lr convaincre
politique dimension symbolique vote opposition,réforme,retraite imparfaite affaiblir nécessairement crédibilité
moyen populaire payer prix fort,réforme,comptable voter motion rejet insoumis
cours bataille opinion impopulaire rejeter,réforme,retraite rester ministre petit atout
feu argument boomerang correctif assumer,réforme,but assurer équilibre régime répartition
politique conduire gouvernement adapter discours,réforme,mettre danger paiement pension expliquer
appeler poursuivre mouvement social contre,réforme,retraite tandis examen amendement continuer
fonction public présenter poste opposition,réforme,février éducation énergie industrie secteur
éducation impensable syndicat mobiliser texte,réforme,retraite débattre assemblée national expliquer
rien réveiller état esprit frileux,réforme,retraite tombe douche glacé mieux
ciotti intention dégager position commun,réforme,retraite clairement appeler voter manière
parvenir éric ciotti préparer motion,réforme,retraite parfait cohérence histoire fort
incarner alternance droite souhaiter soutenir,réforme,système retraite porter terme âge
insister liberté vote sacrer parlementaire,réforme,retraite ensemble texte débattre parlement
moment vote prononcer texte soutien,réforme,retraite décider abstenir aurélien pradié
aurélien pradié fer lance opposition,réforme,retraite arrêter caricature table prôner
devenir créer condition acceptabilité important,réforme,avancer substantiel correspondre point majeur
secrétaire général lr annie genevard,réforme,productif plan budgétaire progressif annonce
lot voir pradier refuser voter,réforme,appuye député lr obtenir avancée
cadre blocus universitaire organiser contre,réforme,retraite voter assemblée général semaine
officiellement distance débat autour projet,réforme,retraite emmanuel macron désintéresser autant
millier amendement incertain examen article,réforme,porter report âge légal oublier
voix marine pen défendre voter,réforme,touraine dénoncent gauche demande semaine
abstention objectif braquer gouvernement accord,réforme,sceller base intérêt commun large
républicain diviser gauche retire amendement,réforme,soumettre vote dizaine élu lr
loire jean-pierre taite laurent wauquiez,réforme,allonger durée temps travail augmenter
remontrance bruno retailleau appeler soutenir,réforme,homme journal dimanche constance courage
politique soutien élu lr présent,réforme,retraite camp présidentiel responsable agacer
vigiler maintien équilibre financier peine,réforme,bout bout arriver équilibrer prévenir
débat récurrent autour retraite non,réforme,proposer gouvernement exempter critique défendre
assemblée national nature échange autour,réforme,inquiéter sembler croire vraiment valeur
modèle pays égalitaire monde joue,réforme,retraite développer travail défendre société
amendement conséquence considérablement accélérer discussion,réforme,retraite permettre vote jour fin
amendement précéder article point central,réforme,concerner report âge légal retraite
nombre joindre mobilisation syndical contre,réforme,retraite lieu pari jeudi après-midi
bloquer sortie raffinerie france opposition,réforme,retraite station service manquer carburant
jour peine blocage raffinerie opposition,réforme,retraite inquiéter représentant secteur estime
salaire tandis agir fois combattre,réforme,retraite motivation sûr raffinerie mettre
républicain préoccupation cardinal enliser complexité,réforme,retraite paul rannard républicain face
ténor parti tracer ligne épouser,réforme,courant interne venir contester brouillard
macron privilège apparaître libéral sujet,réforme,franchit obstacle rue président république
chemin adapter logiciel lr reconnaître,réforme,retraite bouscule pilier idéologique urgent
multiplier trop utiliser entreprise heure,réforme,retraite travailler français devoir mettre
ministre priorité groupe cohérence global,réforme,situation senior femme examen texte
ajouté autant majorité sénatorial favorable,réforme,retraite gérard larcher bruno retailleau
rappeler bruno retailleau assurer agir,réforme,rien retrouver déficit poursuivre président
mère famille lire ci-dessous question,réforme,dos avance bruno retailleau permettre
