Index,Texte précédent,Mot,Texte suivant
30,"ligne : si nous ne sommes pas entendus , nous pourrions nous tourner vers l' abstention et même le vote",contre,"» , a assuré au Figaroce membre de Fédération progressiste , le parti de l' ex-ministre du Travail François Rebsamen"
31,"faire bloc . C' est d' autant plus vrai que les oppositions , galvanisées par l' ampleur de la mobilisation",contre,"la réforme des retraites , ne comptent pas en rester là . « Il n' y a aucune résignation ,"
32,Mais les syndicats dénoncent pour les « carrières longues » une durée de cotisation de quarante - quatre ans (,contre,quarante - trois ans pour les autres ) . « C’ est une situation que nous connaissons déjà avec 180.000
33,"qui s' annonce , le pouvoir promoteur d' une réforme impopulaire devient volens nolensle représentant du parti de l' ordre",contre,"les blocages , les atteintes aux biens ou les violences . Ainsi le macronisme glisse -t -il vers un bloc"
34,"Ce qui libère un espace politique pour la gauche ... Théoriquement , oui . Car la gauche , vent debout",contre,"la réforme , est en grande difficulté . Elle montrerait son impuissance si elle échouait à l' empêcher . Au"
35,. Car ils ne peuvent courir le risque d' être du côté de Jean-Luc Mélenchon et de Marine Le Pen,contre,"Emmanuel Macron si celui-ci , par hypothèse , devenait le chef du parti de l' ordre . Ils seraient alors"
36,du privé sur le nombre d' années de cotisations . Un à deux millions de personnes descendent dans la rue,contre,"la réforme , sans succès . 2007 , Nicolas Sarkozy poursuit cette stratégie et y inclut les régimes spéciaux des"
37,"une séquence de l' audition , qui a beaucoup circulé sur les réseaux sociaux , en pleine journée de mobilisation",contre,"la réforme : « Les dépenses de retraites ne dérapent pas , elles sont relativement maîtrisées . Dans la plupart"
38,8 mars s' annoncent déjà suivies par les salariés des remontées mécaniques . Le mouvement de grèves et de manifestations,contre,la réforme des retraites menace -t -il les stations de ski ? Si les mobilisations des 7 et 8 mars
39,LA MOBILISATION,contre,la réforme des retraites relèvera -t -elle le défi de la longévité ? C' est la question que se posent
40,ce moment . Et que c’ est d’ ailleurs l’ espoir de la gauche de faire se lever les Français,contre,"lui sur ce thème . Au gouvernement comme dans l’ opposition , tout le monde a compris que le malaise"
41,"de mobiliser son électorat pour battre son adversaire : il avait recueilli 9,7 millions de voix ( 27,8 % )",contre,"8,1 millions ( 23,1 % ) . Emmanuel Macron emporte le second tour avec 18,7 millions de voix face à"
42,"La gauche a juste permis d’ amplifier le score , d’ accroître l’ écart pour le monter à 58,5 %",contre,"41,5 % . Les législatives ont confirmé le vote de la présidentielle . Certes Emmanuel Macron n’ a pas eu"
43,", au passage , dans la fonction publique , sont toujours calculées sur la base des six derniers mois ,",contre,"les 25 meilleures années dans le privé . Dernière condition du succès , nécessaire mais non suffisante , avoir la"
44,Après les manifs et les marches de janvier,contre,"la réforme des retraites , faut -il se préparer aux grèves et blocages de février ? La réponse appartient aux"
45,", durcir le combat , c' est s' exposer à la lassitude , au retournement des Français aujourd'hui en majorité",contre,"le relèvement de l' âge légal de départ à 64 ans . Or l' opinion est cruciale , dans cette"
46,À CHAQUE mouvement social,contre,"la réforme des retraites , sa dynamique . L' hiver 2019 - 2020 , les agents de la RATP étaient"
47,"de tel cette année . Certes , les salariés de la RATP participent en nombre aux journées d' action interprofessionnelle",contre,"la réforme ( le 19 janvier et le 31 janvier ) . Certes , à cette occasion , les transports"
48,"sur une ligne de crête , car certains députés , tel Pierre-Henri Dumont ( Pas-de-Calais ) , menacent de voter",contre,le texte si certains amendements ne sont pas retenus . « Pas un seul d’ entre nous n’ a fait
49,peine . La députée du Doubs n’ est pas certaine aujourd’hui qu’ un tiers des 62 députés du groupe voterait,contre,"le texte , mais elle refuse de se lancer dans un décompte des pro et des antiréforme . Le vote"
50,réélection d’ avril dernier . Et qui ajoute à la contestation de la réforme des retraites un parfum de revanche,contre,"la seule personne d’ Emmanuel Macron . De la part de la rue , mais pas seulement . Comme François"
51,la position des députés LR se fait parfois vacillante . « Ce n’ est pas la même chose d’ être,contre,"la réforme et contre le mouvement social » , juge un ministre , comme avec l’ espoir que les perturbations"
52,LR se fait parfois vacillante . « Ce n’ est pas la même chose d’ être contre la réforme et,contre,"le mouvement social » , juge un ministre , comme avec l’ espoir que les perturbations lassent les Français ."
53,"le 1,12 million de manifestants , d' après le ministère de l' Intérieur , qui ont défilé jeudi 19 janvier",contre,"la réforme des retraites , ils sont plusieurs à avoir attiré l' attention et suscité l' étonnement . Ce que"
54,"périphérique » , la France « des préfectures et des sous-préfectures » , s' est en effet mobilisé en nombre",contre,"le projet de loi avancé par Emmanuel Macron . À Foix ( Ariège ) , plus de 20 % de"
55,"l' Hexagone , près de 8,5 % de l' aire urbaine battait le pavé pour la première journée de manifestation",contre,"la réforme des retraites . À Digne-les-Bains , le chef - lieu des Alpes - de - Haute - Provence"
56,et de l' abstention . « On retrouve la même géographie que durant les rassemblements en soutien àCharlie Hebdo et,contre,"les ordonnances travail . Dans ces territoires acquis au RN , la manifestation demeure plus rare » , constate ainsi"
57,"2015 , les départements qui ont le plus voté en faveur de Marine Le Pen en 2022 ont moins défilé",contre,"la réforme des retraites . Dans ceux où elle était sous la barre des 20 % le 10 avril ,"
58,". La mobilisation s’ amplifie , l’ exécutif se raidit . Au terme de la deuxième journée d’ action syndicale",contre,"la réforme des retraites , le rapport de force se tend . Entre le chiffre de 2,8 millions de manifestants"
59,péril l’ union affichée depuis le début de l’ année . Avec le succès de la deuxième journée de mobilisation,contre,"la réforme des retraites , c’ est désormais l’ Assemblée nationale qui se retrouve sous pression . À commencer par"
60,"hésité à soutenir les actions coup de poing des syndicats , les coupures d’ électricité par exemple , non pas",contre,"les habitations privées , mais « à partir du moment où ça entre dans le champ politique de l’ exercice"
61,". Face à Emmanuel Macron , son diagnostic est fait : « On ne peut pas diriger longtemps son pays",contre,son peuple . On voit bien aujourd’hui que nous dépassons largement le niveau des seules mobilisations politiques et syndicales …
62,"le niveau des seules mobilisations politiques et syndicales … » Au sein de la Nupes , la colère est forte",contre,"la majorité présidentielle , d’ autant plus que mardi matin , la conférence des présidents a choisi la motion référendaire"
63,"net recul de la mobilisation nationale , estimée à 757.000 personnes selon Beauvau - dont 57.000 à Paris - ,",contre,"près de 2 millions pour la CGT , dont 400.000 dans la capitale . Une baisse de régime qui a"
64,"l’ article liminaire du projet de loi a été adopté d’ une courte tête , mardi , par 246 voix",contre,"229 . « Depuis la présentation du texte par la première ministre , le 10 janvier , on se faisait"
65,"longues semaines ont été assez coûteuses politiquement pour nous . Maintenant , place au débat à l’ Assemblée , proposition",contre,"proposition » , veut croire un proche du président de la République . « La majorité et les oppositions vont"
66,"plus nombreux dans les rues , sont jugés trop hostiles , et le président Jacques Chirac préfère renoncer . Réformer",contre,"l’ opinion , voilà ce que le chef d’ État d’ alors ne s’ est pas risqué à faire ."
67,"Faure , a résumé sur LCI la situation en une interrogation . « Est -ce qu’ un gouvernement peut gouverner",contre,"l’ opinion ? Contre celles et ceux qui sont , en fait , le vrai souverain ? » Il s’"
68,sur LCI la situation en une interrogation . « Est -ce qu’ un gouvernement peut gouverner contre l’ opinion ?,Contre,"celles et ceux qui sont , en fait , le vrai souverain ? » Il s’ est empressé de proposer"
69,souverain ? » Il s’ est empressé de proposer une réponse : « On ne peut pas gouverner très longtemps,contre,"son propre pays . » S’ il décide d’ aller jusqu’ au bout , l’ exécutif ne sera pourtant pas"
70,"une autre histoire . À Paris , l' on retrouvait ainsi plutôt des habitués des mobilisations sociales , présents déjà",contre,"les réformes des retraites de 2003 , 2010 ou 2019 , ou contre la loi travail en 2016 . Des"
71,"habitués des mobilisations sociales , présents déjà contre les réformes des retraites de 2003 , 2010 ou 2019 , ou",contre,"la loi travail en 2016 . Des corporations puissantes , regroupées derrière des bannières : fonctionnaires , enseignants , étudiants"
72,"de l' accès aux soins et de la fermeture de classes » , explique Louis Margueritte . « La mobilisation",contre,"la réforme devient un prétexte pour exprimer des angoisses qui n' ont , au fond , rien à voir avec"
73,"fonctionnaires » , se trouvait Antoine Loguillard , enseignant d' histoire - géographie depuis 1992 . Celui qui a manifesté",contre,"la réforme des retraites en 2003 et en 2010 affirme : « Ce qui me frappe , c' est que"
74,"Laurent Wauquiez ) ou de Fabien Di Filippo ( Moselle ) , soutien du premier cercle . « Je suis",contre,"un âge légal de départ à la retraite , car cela veut dire que celui qui a commencé de travailler"
75,» . « Je suis pour une réforme des retraites mais pas celle-ci qui est une ânerie . Je voterai,contre,"sans hésitation » , développe Jean-Pierre Taite ( Loire ) qui plaide pour « tout remettre à plat » ,"
76,"troupes . Mardi , lors du vote de l' article liminaire du projet de loi , sur 15 voix «",contre,"» exprimées par les députés LR , 8 venaient de députés proches de Laurent Wauquiez . De quoi surprendre ,"
77,"ressemblent ... Pour la cinquième fois ce jeudi 16 février , les organisations syndicales appellent à poursuivre le mouvement social",contre,la réforme des retraites . Tandis que l' examen des quelque 16.000 amendements restants continue toute la semaine à l'
78,". Telle est notre scène universelle : le sofa ou le canapé , face à un écran , seul rempart",contre,l' abomination de l' histoire qui nous arrive filtrée par les images et qui renforce notre appétit domiciliaire . Chacun
79,"par soustraction - on souhaite moins consommer , moins dépenser , moins voyager - ou par opposition : on est",contre,". On est antivax , antiviande , antivoiture , anticorrida , antinucléaire , antichasse , anti-canon à neige . Il"
80,leur « droit au silence » en cas de garde à vue . Il s' agit d' un atelier «,contre,"la répression » , glisse , gênée , une étudiante venue y assister avant de couper court à la discussion"
81,la bienvenue . Une chose est sûre : cette activité est dispensée dans le cadre d' un blocus universitaire organisé,contre,"la réforme des retraites . Voté en assemblée générale la semaine passée , il est mis à exécution depuis 6h30"
82,"au vote , près d' une dizaine d' élus LR pourraient s' abstenir . Et autant sont susceptibles de voter",contre,", à l' image du député de la Loire Jean-Pierre Taite , proche de Laurent Wauquiez . « Il faut"
83,". » Souffler le chaud et le froid D' autres parlementaires affirment aussi avoir changé leur vote , pour protester",contre,"les remontrances de Bruno Retailleau , qui a appelé à soutenir la réforme comme un seul homme dans Le Journal"
84,"peur de les perdre en route ... » , regrette un cadre de Renaissance . D' autres mettent en garde",contre,"le coût de cette nouvelle concession sur les carrières longues , chiffrée à 500 millions d' euros par le ministre"
85,"parce qu' il faut bien financer ce bien-être , nos prélèvements obligatoires augmentent : ils représentent 47,5 % du PIB",contre,"41,5 % en Allemagne . Une différence de 180 milliards par an . Et comme cela ne suffit pas ,"
86,"pas , nous ne cessons , en plus , de nous endetter : la dette représente 110 % du PIB",contre,"69 % en Allemagne . L' écart est de 1 200 milliards . Le changement de société est là ,"
87,"discussions se poursuivaient dans l' Hémicycle , un certain nombre d' entre eux se sont joints à la mobilisation syndicale",contre,"la réforme des retraites qui avait lieu à Paris , jeudi après-midi . Le leader Insoumis , Jean-Luc Mélenchon ,"
88,"fondamentaux . « Avoir 25 ans et parler de la paresse , c' est triste . Il faut absolument lutter",contre,les assistés de demain et rester ferme sur un principe : pas de solidarité sans effort . » Chez LR
89,"la main , souveraineté ... L' argumentaire des jeunes LR est prêt , mais s' ils s' attendent à ferrailler",contre,la gauche qui a « gagné la bataille culturelle » en soutenant l' idée que le travail serait un enfer
90,"figurent la construction ( 53,4 accidents du travail avec arrêt au cours de l' année pour 1 000 salariés ,",contre,"33,5 sur l' ensemble des secteurs ) , le secteur du commerce , des transports et de l' hébergement -"
91,"changé la fréquence des visites médicales du travail : elles doivent avoir lieu tous les 5 ans au maximum ,",contre,"un délai de 2 ans auparavant . Résultat , « 61 % des salariés du privé n' ont pas bénéficié"
92,"grand entretien qu' il a donné à Philosophie Magazine(10 février 2023 ) , Laurent Berger s' est inscrit en faux",contre,"l' idée , complaisamment colportée , d' une désaffection des travailleurs français à l' égard de leur travail . Bien"
93,"pour les femmes nées en 1966 au lieu de cinq pour les hommes de la même génération , 8 mois",contre,4 pour les hommes de la génération 1980 . Et on sait très bien que les femmes seniors sont encore
94,ailleurs l’ Union nationale des associations familiales ( Unaf ) . Il ne s’ agit pas uniquement de « lutter,contre,"les inégalités femmes - hommes » , mais aussi de pérenniser « notre système de retraite par répartition qui repose"
95,"» Si Julie , cadre dans l’ esthétique , s’ énerve les jours de grève , ce n’ est pas",contre,"le gouvernement , mais contre « ces gens qui nous empêchent de travailler » : « Évidemment , on a"
96,"dans l’ esthétique , s’ énerve les jours de grève , ce n’ est pas contre le gouvernement , mais",contre,"« ces gens qui nous empêchent de travailler » : « Évidemment , on a plein d’ annulations ! ,"
97,"ENSEIGNANTS , lycéens et étudiants repartent en guerre",contre,"la réforme des retraites . Du côté des professeurs , le Snuipp , premier syndicat du primaire , prévoit plus"
98,"les jeunes seront plus intelligents que ça . » De son côté , Valérie Pécresse a décidé de porter plainte",contre,Louis Boyard au nom de la région Île-de-France pour « incitation au délit d' entrave » et « incitation à
99,seulement plus élevé de 20 points que celui de l’ ensemble de la zone euro ( 113 % du PIB,contre,"93 % ) , mais il ne diminue pas contrairement à celui des autres grands pays de la zone euro"
100,"les OAT à 10 ans , bénéficient d’ un traitement de faveur : leur taux est de 3,17 % ,",contre,"2 , 64 % en Allemagne , mais 4,45 % en Italie . La remontée est certes considérable depuis un"
101,"qu' une nette majorité de sondés ( 64 % ) imputerait la responsabilité d' un blocage à l' exécutif ,",contre,"seulement 35 % aux syndicats . Il n' empêche , malgré les appels à la grève reconductible dans des secteurs"
102,Assemblée nationale où le texte n’ avait pas pu être soumis au vote . Bras de fer figé Détermination syndicale,contre,"détermination gouvernementale , le bras de fer est figé . Du côté des opposants à la réforme , il s’"
103,"heures de débat , plus de 8 000 amendements , la réforme des retraites a été votée par 195 voix",contre,"112 , avec de l' avance sur le délai prévu . Victoire politique pour le Sénat ; soulagement pour l'"
104,"le plein de voix . Le député de Mayenne , Yannick Favennec , l' annonce au Figaro : il votera",contre,"la réforme , qui ne le satisfait pas . Selon plusieurs sources , au moins deux autres députés Horizons pourraient"
105,"satisfait pas . Selon plusieurs sources , au moins deux autres députés Horizons pourraient « s' abstenir , voire voter",contre,"» . Dans le meilleur des cas , le groupe pourra donc compter sur 28 voix favorables , « mais"
106,"parlementaires . L' un d' entre eux , Richard Ramos , a déjà exprimé à plusieurs reprises ses fortes réserves",contre,"cette réforme qu' il juge « injuste » . « Ma position est toujours la même , à l' heure"
107,"injuste » . « Ma position est toujours la même , à l' heure qu' il est , je voterai",contre,"cette réforme ou m' abstiendrai » , indique -t -il au Figaro . Son groupe ne pourrait alors dans le"
108,"réforme reste très divisé sur la question des retraites . Sur 61 députés , « 21 à 24 devraient voter",contre,"» , indique l' un d' entre eux , chacun ayant sorti sa calculatrice pour les derniers décomptes . Parmi"
109,"Depuis quelques jours , plusieurs ministres du gouvernement tentent de convaincre les indécis . « Peut - être que certains",contre,"vont basculer dans l' abstention et certains hésitants dans le pour , mais dans le meilleur des cas , il"
110,"majorité d' entre eux sont défavorables à cette réforme . « Sur 20 députés , une grosse quinzaine est radicalement",contre,", deux ou trois s' abstiendront , et deux pourraient voter pour » , informe un cadre du groupe ."
111,", sauf énorme surprise , s' opposer à cette réforme . Parmi les cinq députés non-inscrits , quatre devraient voter",contre,", et une seule , Emmanuelle Ménard , hésite encore entre un vote favorable ou une abstention . Au total"
112,"dans le meilleur des cas , le camp présidentiel pourra compter sur 281 voix favorables et devra subir 278 votes",contre,". Une très courte majorité donc , qui ferait courir au gouvernement le risque d' un rejet du texte dans"
113,courir au gouvernement le risque d' un rejet du texte dans le cas où certains élus hésitants viendraient à voter,contre,et ou d' autres auraient - ou simuleraient - un empêchement de dernière minute .
114,"qui espère bien voir les négociations entre parlementaires aboutir . Étant donné l’ enjeu , qu’ ils soient pour ou",contre,"la réforme des retraites , les parlementaires ont préparé avec soin la CMP . En sont membres les présidentes de"
115,députée du Jura Justine Gruet . Que feront les soutiens d’ Aurélien Pradié ? Pourront -ils transformer un vote «,contre,"» en abstention ? À LR , certains l’ espèrent encore . « On ne peut pas renier nos convictions"
116,"réforme , votée le 27 octobre , fut promulguée le 10 novembre 2010 . À la tête du combat politique",contre,"la réforme , le PS s' était engagé à l' abroger ; mais , élu dix-huit mois plus tard ,"
117,"Même si , dans le même temps , les deux tiers des sondés trouvaient « justifiée » la mobilisation syndicale",contre,"le texte . Ce soutien , finalement rare pour une réforme des retraites , s' explique par la compréhension majoritaire"
118,"chiffres circulant ces derniers jours , notamment du côté de la droite , où 21 à 24 députés pourraient voter",contre,"la réforme , et où certains autres devraient s' abstenir . « Le 49.3 serait bien trop commode pour certains"
119,tandis que le Sénat l' a adopté en fin de matinée ce jeudi . Les syndicats engagés dans la bataille,contre,la réforme des retraites ont réitéré jeudi leur appel aux députés à « voter contre » le texte « injuste
120,syndicats engagés dans la bataille contre la réforme des retraites ont réitéré jeudi leur appel aux députés à « voter,contre,"» le texte « injuste » et « brutal » , aux abords de l' Assemblée nationale , à quelques"
121,"l' immense mouvement social et populaire opposé au recul de l' âge légal de départ en retraite , de voter",contre,"le projet de réforme » , a déclaré François Hommeril ( CFE - CGC ) au nom des organisations syndicales"
122,affirmé . « Nous sommes venus interpeller les députés pour qu' ils soient en phase avec les citoyens et votent,contre,"ce projet de loi » , a poursuivi dans la foulée le secrétaire général de la CGT Philippe Martinez ."
123,", elle s’ est dite « très choquée » par les huées et s’ est livrée à une nouvelle charge",contre,"les oppositions . « Jusqu’ à la dernière minute , nous avons tout fait pour aller au vote . Mais"
124,. Le pays « légal » rejoignait le pays « réel » . Les autres - les macronistes - faisaient,contre,mauvaise fortune bon coeur . Emmanuel Macron et Élisabeth Borne s' engageant à « construire des compromis » . Et
125,y aurait recours : « Il faut censurer le gouvernement et nous espérons que ceux qui s' apprêtaient à voter,contre,"cette réforme des retraites , voteront cette motion de censure » , a déclaré la présidente du groupe RN à"
126,"annonce du recours au 49.3 , seront encore redoutés ce lundi , après le vote sur les motions de censure",contre,"le gouvernement . Si ces dernières n' aboutissent pas , les opposants à la réforme des retraites seront de nouveau"
127,", est réelle . « Maintenant , à nous de jouer ! » , a notamment averti sur son site",Contre,"Attaque , ex-Nantes Révoltée et vitrine de la gauche radicale dans la ville . Autre risque redouté : celui de"
128,"est celui d' une convergence des luttes , où toute manifestation serait prétexte à des bouffées de violence . Celle",contre,les bassines - ces retenues d' eau contestées par les milieux écologistes - prévues les 24 et 25 mars prochains
129,"la Concorde . Leur accès reste interdit . Jeudi 23 mars , lors de la neuvième journée de mobilisation programmée",contre,"la réforme , les syndicats vont -ils parvenir à maintenir l' ordre dans les cortèges ? Selon l' évolution politique"
130,L' image est symbolique autant qu' inédite . Pour cette cinquième journée de protestation,contre,"la réforme des retraites , jeudi 16 février , tous les leaders de l' intersyndicale s' apprêtent à manifester en"
131,Les manifestations du 7 mars l' ont confirmé : de nombreuses préfectures et sous-préfectures de départements ruraux sont extrêmement mobilisées,contre,"le texte du gouvernement . Ainsi de Foix ( Ariège ) , où plus de 20 % des habitants de"
132,dans la rue à Saint-Nazaire ( Loire - Atlantique ) qu' à Lille ( Nord ) - respectivement 6 200,contre,"5 500 - , bien que la cité de Martine Aubry compte sept fois plus d' habitants . Les 3"
133,avec Francis Dubois ( Corrèze ) ou Fabrice Brun ( Ardèche ) . Certains sénateurs Les Républicains qui ont voté,contre,ce texte ou se sont abstenus appartenaient également à ces territoires . Entre tenir la ligne du parti et rester
134,"JOUR , les poubelles s' entassent ; la nuit , elles brûlent . Alors que la grève des éboueurs parisiens",contre,"la réforme des retraites en est à sa troisième semaine , et que le mouvement a été reconduit jusqu' au"
135,un groupe Facebook du 17e arrondissement s' échangent ainsi le numéro d' une société privée qui vient ramasser les ordures,contre,"rémunération . L' initiative vient de Pauline Toubhans , copropriétaire dans une « grosse résidence de 130 lots » ."
136,"Arnaud , Rozès , Stéphane Nous l' écrivions voici tout juste deux mois , au lendemain de la première mobilisation",contre,le projet de loi sur la réforme des retraites : nous sommes entrés dans l' une de ces périodes où
137,"la démocratie - , classes populaires prolétarisées , etc. L' opposition massive à la réforme des retraites exprime un rejet",contre,ce qui est perçu par une majorité de Français comme la régression de trop ; elle est de facto plus
138,"elle est de facto plus que l' acte de défense d' un acquis , elle constitue un acte de résistance",contre,la réduction du politique à une technique d' ajustement à la globalisation . Le politique est le sismographe de la
139,"en véritable crise démocratique . En octobre 2018 , la révolte des ronds - points avait débuté par une protestation",contre,"l' augmentation des prix du carburant liée à l' instauration d' une nouvelle taxe . Rapidement , cependant , la"
